"State Code","State Name (In English)","State Name (In Local)","Census2011 Code"
"01","Jammu And Kashmir","जम्मू और कश्मीर","01"
"02","Himachal Pradesh","हिमाचल प्रदेश","02"
"03","Punjab","पंजाब","03"
"04","Chandigarh","चंडीगढ़","04"
"05","Uttarakhand","उत्तराखण्ड","05"
"06","Haryana","हरियाणा","06"
"07","Delhi","दिल्ली","07"
"08","Rajasthan","राजस्थान","08"
"09","Uttar Pradesh","उत्तर प्रदेश","09"
"10","Bihar","बिहार","10"
"11","Sikkim","सिक्किम","11"
"12","Arunachal Pradesh","अरुणाचल प्रदेश","12"
"13","Nagaland","नागालैण्ड","13"
"14","Manipur","मणिपुर","14"
"15","Mizoram","मिज़ोरम","15"
"16","Tripura","त्रिपुरा","16"
"17","Meghalaya","मेघालय","17"
"18","Assam","असम","18"
"19","West Bengal","पश्चिम बंगाल","19"
"20","Jharkhand","झारखण्ड","20"
"21","Odisha","ओडिशा","21"
"22","Chhattisgarh","छत्तीसगढ़","22"
"23","Madhya Pradesh","मध्य प्रदेश","23"
"24","Gujarat","गुजरात","24"
"26","Dadra And Nagar Haveli And Daman And Diu","दादरा और नगर हवेली तथा दमन और दीव","26"
"27","Maharashtra","महाराष्ट्र","27"
"28","Andhra Pradesh","आंध्र प्रदेश","28"
"29","Karnataka","कर्नाटक","29"
"30","Goa","गोवा","30"
"31","Lakshadweep","लक्षद्वीप","31"
"32","Kerala","केरल","32"
"33","Tamil Nadu","तमिल नाडु","33"
"34","Puducherry","पुदुच्चेरी","34"
"35","Andaman And Nicobar Islands","अंडमान और निकोबार द्वीपसमूह","35"
"36","Telangana","तेलंगाना","36"
"37","Ladakh","लद्दाख़","37"
