"State Code","State Name (In English)","District Code","District Name (In English)","District Name (In Local)","Sub-District Code","Sub-District Name (In English)","Sub-District Name (In Local)","Village Code","Village Name (In English)","Village Name (In Local)"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010101","Bhagwanpur","भगवानपुर"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010102","Kachnar","कचनार"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010103","Rampur Bujurg","रामपुर बुजुर्ग"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010104","Sindhora","सिंधोरा"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010105","Barai","बरई"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090101","Pindra","पिण्डरा","9909010106","Dhanapur","धनापुर"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010201","Kachhwa","कछवां"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010202","Mirzamurad","मिर्जामुराद"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010203","Kapsethi","कपसेठी"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010204","Bhikharipur","भिखारीपुर"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010205","Jansa","जनसा"
"09","Uttar Pradesh","990901","Varanasi","वाराणसी","99090102","Rajatalab","राजातालाब","9909010206","Karkhiyaon","करखियांव"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020101","Piprauli","पिपरौली"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020102","Jangal Kaudia","जंगल कौड़िया"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020103","Bhathat","भथहट"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020104","Khajni","खजनी"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020105","Belghat","बेलघाट"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090201","Sahjanwa","सहजनवां","9909020106","Uruwa","उरुवा"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020201","Kauriram","कौड़ीराम"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020202","Gagaha","गगहा"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020203","Barhalganj","बड़हलगंज"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020204","Sikriganj","सिकरीगंज"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020205","Hariharpur","हरिहरपुर"
"09","Uttar Pradesh","990902","Gorakhpur","गोरखपुर","99090202","Bansgaon","बांसगांव","9909020206","Madhopur","मधोपुर"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010101","Pimpalgaon Baswant","पिंपळगाव बसवंत"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010102","Ozar","ओझर"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010103","Lasalgaon","लासलगाव"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010104","Chandori","चांदोरी"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010105","Saikheda","सायखेडा"
"27","Maharashtra","992701","Nashik","नाशिक","99270101","Niphad","निफाड","9927010106","Ugaon","उगाव"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010201","Vani","वणी"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010202","Mohadi","मोहाडी"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010203","Janori","जानोरी"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010204","Umrale","उमराळे"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010205","Palkhed","पालखेड"
"27","Maharashtra","992701","Nashik","नाशिक","99270102","Dindori","दिंडोरी","9927010206","Karanjwan","करंजवण"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020101","Deolali Pravara","देवळाली प्रवरा"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020102","Tahakari","ताहाकारी"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020103","Vambori","वांबोरी"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020104","Kendal","केंदळ"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020105","Sadatpur","सदातपूर"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270201","Rahuri","राहुरी","9927020106","Manjori","मांजोरी"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020201","Ashvi","आश्वी"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020202","Ghargaon","घारगाव"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020203","Samnapur","सामनापूर"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020204","Nimgaon Jali","निमगाव जाळी"
